2021-09-29 11:56:18,434 | WARNING| module_finder - None
2021-09-29 11:56:18,434 | INFO| module_finder - ['C:\\WORK\\Projects\\Python\\TA.Python.Mentoring\\venv\\lib\\site-packages\\prettytable']
2021-09-29 11:56:18,437 | DEBUG| module_finder - 2.2.1
2021-09-29 11:57:08,406 | WARNING| module_finder-8s - None
2021-09-29 11:57:08,407 | INFO| module_finder-8s - ['C:\\WORK\\Projects\\Python\\TA.Python.Mentoring\\venv\\lib\\site-packages\\prettytable']
2021-09-29 11:57:08,409 | DEBUG| module_finder-8s - 2.2.1
2021-09-29 11:57:42,387 | WARNING-8s | module_finder - None
2021-09-29 11:57:42,387 | INFO-8s | module_finder - ['C:\\WORK\\Projects\\Python\\TA.Python.Mentoring\\venv\\lib\\site-packages\\prettytable']
2021-09-29 11:57:42,390 | DEBUG-8s | module_finder - 2.2.1
2021-09-29 11:58:15,696 | WARNING  | module_finder - None
2021-09-29 11:58:15,696 | INFO     | module_finder - ['C:\\WORK\\Projects\\Python\\TA.Python.Mentoring\\venv\\lib\\site-packages\\prettytable']
2021-09-29 11:58:15,699 | DEBUG    | module_finder - 2.2.1
2021-09-29 11:59:34,178 | WARNING  | module_finder - None
2021-09-29 11:59:34,179 | INFO     | module_finder - ['C:\\WORK\\Projects\\Python\\TA.Python.Mentoring\\venv\\lib\\site-packages\\prettytable']
2021-09-29 11:59:34,181 | DEBUG    | module_finder - 2.2.1
2021-09-29 12:53:48,941 | WARNING  | module_finder - None
2021-09-29 12:53:48,942 | INFO     | module_finder - ['C:\\WORK\\Projects\\Python\\TA.Python.Mentoring\\venv\\lib\\site-packages\\prettytable']
2021-09-29 12:53:48,945 | DEBUG    | module_finder - 2.2.1
2021-09-29 12:57:43,410 | WARNING  | module_finder - None
2021-09-29 12:57:43,411 | INFO     | module_finder - ['C:\\WORK\\Projects\\Python\\TA.Python.Mentoring\\venv\\lib\\site-packages\\prettytable']
2021-09-29 12:57:43,413 | DEBUG    | module_finder - 2.2.1
2021-09-29 13:00:57,713 | WARNING  | module_finder - None
2021-09-29 13:00:57,713 | INFO     | module_finder - ['C:\\WORK\\Projects\\Python\\TA.Python.Mentoring\\venv\\lib\\site-packages\\prettytable']
2021-09-29 13:00:57,716 | DEBUG    | module_finder - 2.2.1
2021-09-29 13:01:57,351 | WARNING  | module_finder - None
2021-09-29 13:01:57,351 | INFO     | module_finder - ['C:\\WORK\\Projects\\Python\\TA.Python.Mentoring\\venv\\lib\\site-packages\\setuptools']
2021-09-29 13:01:57,353 | DEBUG    | module_finder - 58.1.0
2021-09-29 13:03:08,714 | ERROR    | module_finder - Package not found
2021-09-29 13:03:37,592 | WARNING  | module_finder - None
2021-09-29 13:03:37,592 | INFO     | module_finder - ['C:\\WORK\\Projects\\Python\\TA.Python.Mentoring\\venv\\lib\\site-packages\\setuptools']
2021-09-29 13:03:37,596 | DEBUG    | module_finder - 58.1.0
2021-09-30 18:44:47,555 | WARNING  | module_finder - None
2021-09-30 18:44:47,555 | INFO     | module_finder - ['C:\\WORK\\Projects\\Python\\TA.Python.Mentoring\\venv\\lib\\site-packages\\setuptools']
2021-09-30 18:44:47,558 | DEBUG    | module_finder - 58.1.0
2021-09-30 18:45:14,508 | WARNING  | module_finder - None
2021-09-30 18:45:14,508 | INFO     | module_finder - ['C:\\WORK\\Projects\\Python\\TA.Python.Mentoring\\venv\\lib\\site-packages\\setuptools']
2021-09-30 18:45:14,511 | DEBUG    | module_finder - 58.1.0
2021-09-30 18:45:23,735 | WARNING  | module_finder - None
2021-09-30 18:45:23,735 | INFO     | module_finder - ['C:\\WORK\\Projects\\Python\\TA.Python.Mentoring\\venv\\lib\\site-packages\\setuptools']
2021-09-30 18:45:23,738 | DEBUG    | module_finder - 58.1.0
